epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,529.646,1.3639,1.54032,1.37125,0.63239,0.68125,0.67961,0.47684,0.84462,212.529,0.93055,0.000661017,0.000661017,0.000661017
2,816.684,1.12336,0.96036,1.22118,0.60841,0.73275,0.62629,0.41841,0.85311,687.755,0.92954,0.0013014,0.0013014,0.0013014
3,1093.74,1.09602,0.90047,1.20131,0.65883,0.79123,0.65874,0.4528,0.80947,1271.23,0.92641,0.00191537,0.00191537,0.00191537
4,1371.71,1.07551,0.86554,1.19021,0.64083,0.77457,0.7325,0.51542,0.84928,623.709,0.92039,0.0018812,0.0018812,0.0018812
5,1649.55,1.04106,0.8335,1.16407,0.66385,0.76348,0.68621,0.48013,0.82088,870.184,0.93319,0.0018416,0.0018416,0.0018416
6,1926.44,1.0007,0.78984,1.14726,0.66984,0.7917,0.69157,0.49351,0.79101,851.43,0.90725,0.001802,0.001802,0.001802
7,2201.51,0.98509,0.76769,1.13981,0.67884,0.80505,0.73947,0.53198,0.78672,677.712,0.91051,0.0017624,0.0017624,0.0017624
8,2479.44,0.9673,0.75053,1.12741,0.68277,0.77423,0.71838,0.50989,0.8096,905.274,0.92023,0.0017228,0.0017228,0.0017228
9,2756.82,0.95333,0.7334,1.11736,0.69079,0.79111,0.70015,0.50281,0.76181,942.534,0.89963,0.0016832,0.0016832,0.0016832
10,3032.46,0.95001,0.7267,1.11532,0.69437,0.81072,0.69969,0.50836,0.75758,786.613,0.89162,0.0016436,0.0016436,0.0016436
11,3308.15,0.93624,0.71034,1.11195,0.69124,0.80715,0.71117,0.50337,0.80044,838.447,0.90752,0.001604,0.001604,0.001604
12,3582.35,0.92566,0.7022,1.10803,0.7001,0.82353,0.75788,0.56492,0.7187,828.845,0.87039,0.0015644,0.0015644,0.0015644
13,3857.55,0.92448,0.69609,1.10313,0.70464,0.80335,0.72607,0.54128,0.71835,841.001,0.86468,0.0015248,0.0015248,0.0015248
14,4133.28,0.89803,0.67223,1.0862,0.6994,0.81718,0.73513,0.54149,0.74075,897.371,0.88727,0.0014852,0.0014852,0.0014852
15,4410.18,0.90559,0.67347,1.09029,0.70608,0.82523,0.74707,0.56469,0.70016,817.332,0.86331,0.0014456,0.0014456,0.0014456
16,4685.04,0.89555,0.6662,1.09257,0.70055,0.83045,0.72957,0.55478,0.69221,947.061,0.85331,0.001406,0.001406,0.001406
17,4960.14,0.87385,0.652,1.08012,0.71716,0.82421,0.75713,0.57599,0.68268,778.531,0.85472,0.0013664,0.0013664,0.0013664
18,5233.83,0.86072,0.64426,1.07474,0.7034,0.83082,0.71801,0.5417,0.69224,939.945,0.85963,0.0013268,0.0013268,0.0013268
19,5506.95,0.85326,0.64062,1.0731,0.71051,0.83928,0.76026,0.58191,0.68463,974.726,0.85587,0.0012872,0.0012872,0.0012872
20,5782.68,0.86625,0.64232,1.07213,0.70569,0.83651,0.7542,0.57429,0.6847,904.857,0.85173,0.0012476,0.0012476,0.0012476
21,6060.15,0.8523,0.63304,1.06267,0.70515,0.83804,0.73916,0.56606,0.66965,980.466,0.84521,0.001208,0.001208,0.001208
22,6334.55,0.84742,0.63088,1.06394,0.70767,0.82988,0.7453,0.56867,0.67978,898.885,0.84913,0.0011684,0.0011684,0.0011684
23,6610.94,0.83687,0.62235,1.06317,0.71683,0.83203,0.772,0.59425,0.67627,876.561,0.84935,0.0011288,0.0011288,0.0011288
24,6886.94,0.84111,0.61891,1.05955,0.71747,0.82206,0.73927,0.56329,0.66387,849.599,0.84696,0.0010892,0.0010892,0.0010892
25,7160.32,0.82277,0.60738,1.05012,0.72079,0.83711,0.76051,0.5879,0.66475,915.277,0.84631,0.0010496,0.0010496,0.0010496
26,7437.14,0.82494,0.60823,1.05625,0.70761,0.84234,0.74805,0.57919,0.65384,879.516,0.82761,0.00101,0.00101,0.00101
27,7712.86,0.81529,0.60695,1.04951,0.71148,0.84574,0.76277,0.59478,0.65023,914.522,0.83191,0.0009704,0.0009704,0.0009704
28,7986.76,0.79929,0.59221,1.04123,0.7139,0.85084,0.76012,0.59503,0.64236,1028.16,0.83323,0.0009308,0.0009308,0.0009308
29,8261.11,0.80123,0.59115,1.04408,0.7314,0.84291,0.76943,0.60369,0.63484,850.717,0.82552,0.0008912,0.0008912,0.0008912
30,8539.59,0.79424,0.58854,1.0416,0.70852,0.83656,0.72393,0.55577,0.64742,1018.23,0.83252,0.0008516,0.0008516,0.0008516
31,8816.91,0.79924,0.5851,1.04184,0.73019,0.84495,0.78782,0.62406,0.63273,897.767,0.8224,0.000812,0.000812,0.000812
32,9134.25,0.79121,0.57916,1.03838,0.72506,0.84268,0.75468,0.58685,0.63433,927.08,0.81994,0.0007724,0.0007724,0.0007724
33,9507.67,0.78185,0.57686,1.0315,0.72705,0.84624,0.75598,0.5878,0.64256,962.616,0.82722,0.0007328,0.0007328,0.0007328
34,9859.24,0.77643,0.5725,1.03337,0.7214,0.8513,0.76026,0.59947,0.63205,950.187,0.82123,0.0006932,0.0006932,0.0006932
35,10130.5,0.77391,0.56915,1.03082,0.72989,0.85028,0.76826,0.6045,0.63343,874.114,0.82245,0.0006536,0.0006536,0.0006536
36,10398.8,0.77188,0.56667,1.03175,0.72026,0.86014,0.7535,0.59579,0.61812,1025.08,0.81553,0.000614,0.000614,0.000614
37,10670.2,0.77944,0.56397,1.0291,0.72407,0.84733,0.75404,0.59702,0.61662,1024.59,0.81521,0.0005744,0.0005744,0.0005744
38,10940.5,0.76423,0.55828,1.0233,0.73729,0.85468,0.77113,0.61117,0.61546,948.01,0.81968,0.0005348,0.0005348,0.0005348
39,11211.7,0.76451,0.55741,1.02175,0.72093,0.86228,0.76054,0.60373,0.61278,1026.2,0.81655,0.0004952,0.0004952,0.0004952
40,11493.7,0.75178,0.5508,1.02239,0.72931,0.8564,0.77124,0.61614,0.61071,980.331,0.81481,0.0004556,0.0004556,0.0004556
41,11775.5,0.7313,0.53416,1.01103,0.72858,0.85735,0.77736,0.6167,0.61604,974.471,0.81387,0.000416,0.000416,0.000416
42,12413.3,0.7085,0.51761,1.00291,0.73449,0.85708,0.77376,0.61489,0.61271,941.969,0.80973,0.0003764,0.0003764,0.0003764
43,12690.5,0.70056,0.50908,0.99962,0.72866,0.85985,0.76014,0.6027,0.61642,1053.07,0.81394,0.0003368,0.0003368,0.0003368
44,12934.2,0.7011,0.50939,0.99803,0.73254,0.85923,0.77331,0.61684,0.61059,1038.22,0.81007,0.0002972,0.0002972,0.0002972
45,13192.4,0.69502,0.5032,0.99066,0.73203,0.8598,0.7774,0.62289,0.60543,1028.14,0.80499,0.0002576,0.0002576,0.0002576
46,13535.5,0.68911,0.49752,0.99015,0.73826,0.85932,0.7644,0.61307,0.59659,1019.04,0.80165,0.000218,0.000218,0.000218
47,14217,0.67778,0.49376,0.98841,0.73647,0.86036,0.772,0.62018,0.59646,1052.06,0.80427,0.0001784,0.0001784,0.0001784
48,14501.9,0.67543,0.4869,0.9832,0.73587,0.86637,0.76036,0.61027,0.59439,1060.33,0.80212,0.0001388,0.0001388,0.0001388
49,14783.8,0.6771,0.48602,0.98388,0.73708,0.86838,0.77526,0.6257,0.59072,1043.55,0.79809,9.92e-05,9.92e-05,9.92e-05
50,15269.6,0.66832,0.48345,0.98039,0.73339,0.86467,0.76638,0.61779,0.58943,1095,0.79767,5.96e-05,5.96e-05,5.96e-05
